"",id,courtType,courtCases,judgmentType,judges,textContent,keywords,judgmentDate
0,1910,COMMON,[{'caseNumber': 'I ACa 11/12'}],SENTENCE,"[{'name': 'Agnieszka Piotrowska', 'function': None, 'specialRoles': []}, {'name': 'Franciszek Marcinowski', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Janusz Kaspryszyn', 'f...",Sygn. akt I ACa 11/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 21 lutego 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Franciszek Marcinowski (spr.)...,[autorskie prawo],2012-02-21
1,1911,COMMON,[{'caseNumber': 'I ACa 110/12'}],SENTENCE,"[{'name': 'Adam Jewgraf', 'function': None, 'specialRoles': []}, {'name': 'Jan Surma', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Tadeusz Nowakowski', 'function': None, 'spe...",Sygn. akt I A Ca 110/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 2 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Jan Surma Sędziowie: SSA Tade...,[spadek],2012-03-02
2,1912,COMMON,[{'caseNumber': 'I ACa 111/12'}],SENTENCE,"[{'name': 'Aleksandra Marszałek', 'function': None, 'specialRoles': []}, {'name': 'Iwona Biedroń', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Janusz Kaspryszyn', 'function':...",Sygn. akt I A Ca 111/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 1 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Iwona Biedroń Sędziowie: SSA ...,[powództwo o ustalenie],2012-03-01
3,1913,COMMON,[{'caseNumber': 'I ACa 130/12'}],SENTENCE,"[{'name': 'Iwona Biedroń', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Janusz Kaspryszyn', 'function': None, 'specialRoles': []}, {'name': 'Małgorzata Lamparska', 'function':...",Sygn. akt I A Ca 130/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 1 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Iwona Biedroń Sędziowie: SSA ...,[odszkodowanie],2012-03-01
4,1914,COMMON,[{'caseNumber': 'I ACa 137/12'}],SENTENCE,"[{'name': 'Agnieszka Piotrowska', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Iwona Biedroń', 'function': None, 'specialRoles': []}, {'name': 'Walter Komorek', 'function': No...",Sygn. akt I ACa 137/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 20 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Agnieszka Piotrowska Sędziowi...,[czyny niedozwolone],2012-03-20
5,1915,COMMON,[{'caseNumber': 'I ACa 140/12'}],SENTENCE,"[{'name': 'Elżbieta Lipińska', 'function': None, 'specialRoles': []}, {'name': 'Jan Gibiec', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Sławomir Jurkowicz', 'function': None...",Sygn. akt I A Ca 140/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 14 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Jan Gibiec Sędziowie: SSA El...,"[odszkodowanie, zadośćuczynienie]",2012-03-14
6,1916,COMMON,[{'caseNumber': 'I ACa 141/12'}],SENTENCE,"[{'name': 'Aleksandra Marszałek', 'function': None, 'specialRoles': []}, {'name': 'Anna Guzińska', 'function': None, 'specialRoles': []}, {'name': 'Sławomir Jurkowicz', 'function': None, 'specialR...",Sygn. akt I ACa 141/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 8 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Sławomir Jurkowicz Sędziowie: ...,[użytkowanie wieczyste],2012-03-08
7,1917,COMMON,[{'caseNumber': 'I ACa 15/12'}],SENTENCE,"[{'name': 'Adam Jewgraf', 'function': None, 'specialRoles': []}, {'name': 'Sławomir Jurkowicz', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Walter Komorek', 'function': None,...",Sygn. akt I ACa 15/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 15 lutego 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Sławomir Jurkowicz Sędziowie:...,[decyzja administracyjna],2012-02-15
8,1918,COMMON,[{'caseNumber': 'I ACa 154/12'}],SENTENCE,"[{'name': 'Aleksandra Marszałek', 'function': None, 'specialRoles': []}, {'name': 'Dariusz Kłodnicki', 'function': None, 'specialRoles': []}, {'name': 'Sławomir Jurkowicz', 'function': None, 'spec...",Sygn. akt I ACa 154/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 8 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Sławomir Jurkowicz Sędziowie: ...,[przedawnienie roszczeń],2012-03-08
9,1919,COMMON,[{'caseNumber': 'I ACa 155/12'}],SENTENCE,"[{'name': 'Beata Wolfke-Kobzar', 'function': None, 'specialRoles': []}, {'name': 'Ewa Głowacka', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}, {'name': 'Tadeusz Nowakowski', 'function': ...",Sygn. akt I A Ca 155/12 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 29 marca 2012 r. Sąd Apelacyjny we Wrocławiu – Wydział I Cywilny w składzie: Przewodniczący: SSA Ewa Głowacka Sędziowie: SSA ...,[kara umowna],2012-03-29
10,62033,COMMON,[{'caseNumber': 'I C 1213/13'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 1213/13 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 24 czerwca 2014r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Witek...,[uchwały wspólnoty mieszkaniowej],2014-06-24
11,62040,COMMON,[{'caseNumber': 'I C 534/14'}],SENTENCE,"[{'name': 'Dorota Witek', 'function': None, 'specialRoles': ['PRESIDING_JUDGE']}]",Sygnatura akt I C 534/14 WYROK W IMIENIU RZECZYPOSPOLITEJ POLSKIEJ Dnia 24 czerwca 2014r. Sąd Okręgowy w Jeleniej Górze I Wydział Cywilny w następującym składzie: Przewodniczący: SSO Dorota Witek ...,[użytkowanie wieczyste],2014-06-24
