;id;extractedDecision;sumOfMoney
0;136699;I. zasądza od pozwanego na rzecz strony powodowej koszty procesu w kwocie 6845, 25 zł, w tym kwotę 5352 zł tytułem kosztów zastępstwa prawnego;12197.25
1;138223;I. zasądza od strony pozwanej na rzecz powódki kwotę 107,00 (sto siedem) złotych tytułem zwrotu kosztów procesu, w tym 60,00 (sześćdziesiąt) złotych tytułem zastępstwa procesowego;107.0
2;136700;I. zasądza od pozwanego W. G. na rzecz powoda M. S. odsetki ustawowe:- od kwoty 1000 zł - za okres od dnia 14 listopada 2011 r. do dnia 01 sierpnia 2012 r.,- od kwoty 1000 zł - za okres od dnia 14 listopada 2011 r. do dnia 24 października 2012 r.,IV. zasądza od pozwanego na rzecz powoda kwotę 1467 zł tytułem zwrotu kosztów procesu, w tym kwotę 1200 zł tytułem zwrotu kosztów zastępstwa procesowego;2667.0
3;138267;I. zasądza od powoda P. J. na rzecz strony pozwanej (...) S.A. z siedzibą w W. kwotę 2.417,00 zł tytułem zwrotu kosztów zastępstwa procesowego;2417.0
4;138808;I. wyrokowi w pkt II wydanemu w stosunku do pozwanego W. G. nadaje rygor natychmiastowej wykonalności;0
5;137316;1. ustala, że powódka D. C. wstąpiła w stosunek najmu lokalu mieszkalnego położonego w B. przy ul. (...) po zmarłej K. K.,2. zasądza od strony pozwanej Gminy Miejskiej B. na rzecz powódki D. C. kwotę 337,00 złotych tytułem kosztów postępowania, w tym kwotę 120,00 złotych tytułem kosztów zastępstwa procesowego;457.0
6;138813;I. zasądza od strony pozwanej (...) S.A. V. (...) z siedzibą w W. na rzecz Skarbu Państwa Sądu Rejonowego w Bolesławcu kwotę 893,00 zł tytułem kosztów procesu tymczasowo wydatkowanych przez Skarb Państwa;893.0
7;138814;I. zasądza od powoda P. Z. na rzecz pozwanej A. Z. kwotę 2.417,00 zł tytułem zwrotu kosztów zastępstwa procesowego;2417.0
8;138270;powództwo oddala;0
9;138268;I. zasądza od pozwanego na rzecz strony powodowej kwotę 227,54 zł tytułem zwrotu kosztów procesu, w tym koszty zastępstwa procesowego w kwocie 180 zł;407.53999999999996
10;138815;1. powództwo oddala,2. zasądza od powodów solidarnych J. S., L. S. na rzecz strony pozwanej (...) sp.zo.o. w W. kwotę 617,00 złotych tytułem zwrotu kosztów procesu, w tym kwotę 600,00 złotych tytułem kosztów zastępstwa procesowego;1217.0
